word,frequency
солдат,4
мам,4
анарх,3
пап,3
стака,3
портвейн,3
реб,2
ребят,2
шел,1
улиц,1
дом,1
увидел,1
ваш,1
спрос,1
кожан,1
куртк,1
небольш,1
рост,1
хотел,1
пройт,1
мим,1
прост,1
довольн,1
весел,1
шутк,1
сыгра,1
раскрас,1
красн,1
син,1
заставля,1
руга,1
мат,1
