word,frequency
щит,6
гор,4
красно-желт,3
дне,3
начнет,3
конч,3
зим,3
ум,3
печал,3
гляд,3
весел,3
верн,3
дом,3
серебр,3
нищет,3
скор,3
порог,2
тех,2
храм,2
присн,2
мир,2
прав,2
застоя,1
поезд,1
деп,1
снов,1
уезжа,1
пор,1
ветер,1
зажда,1
осен,1
сестр,1
расскаж,1
уста,1
безжалостн,1
уличн,1
драм,1
разбит,1
сердец,1
идет,1
любов,1
мечт,1
прекрасн,1
звезд,1
проснул,1
поня,1
бед,1
