word,frequency
говор,3
тоб,2
ид,2
у-,2
пустын,1
улиц,1
вдво,1
куда-т,1
кур,1
конфет,1
еш,1
свет,1
фонар,1
давн,1
пойд,1
кин,1
'',1
зов,1
кабак,1
восьмиклассниц,1
географ,1
трояк,1
прост,1
наплева,1
из-з,1
кто-т,1
получ,1
синяк,1
многозначительн,1
молч,1
дальш,1
гуля,1
мамин,1
помад,1
сапог,1
старш,1
сестр,1
легк,1
горд,1
мно,1
люб,1
кукол,1
воздушн,1
шар,1
10,1
ровн,1
мам,1
ждет,1
дом,1
