word,frequency
ноч,4
видел,3
нам,3
гуля,3
одн,2
утр,2
поможет,2
вышл,1
дом,1
окн,1
погасл,1
огн,1
уезжа,1
последн,1
трамва,1
езд,1
такс,1
неч,1
плат,1
незач,1
еха,1
наш,1
кассетник,1
конч,1
пленк,1
смота,1
зайд,1
телефон,1
будк,1
скаж,1
закр,1
двер,1
квартир,1
тво,1
сним,1
обув,1
буд,1
ход,1
босик,1
сигарет,1
спичк,1
бутылк,1
вин,1
ждат,1
повер,1
спят,1
вдво,1
