word,frequency
глаз,13
наш,12
хотел,4
ждал,3
ден,3
дом,2
завтрашн,2
крик,2
вперед,2
окрик,2
сто,2
рожден,2
дня,2
смерт,2
огн,2
звездн,2
ноч,2
потеря,2
ра,2
закрыт,2
двер,2
нужн,2
выбира,2
вод,2
пост,1
уход,1
лет,1
пришл,1
зим,1
заход,1
шел,1
снег,1
кажд,1
пряч,1
штор,1
век,1
пит,1
свет,1
звезд,1
выход,1
дожд,1
пил,1
луж,1
пес,1
слов,1
спат,1
снов,1
нос,1
траур,1
оркестр,1
игра,1
туш,1
